match_date,round,year,home_team,away_team,venue,match_winner,home_recent_5_win_rate,home_win_streak,home_recent_5_avg_score,home_days_rest,away_recent_5_win_rate,away_win_streak,away_recent_5_avg_score,away_days_rest,h2h_matches,h2h_current_home_wins,h2h_current_away_wins,h2h_draws,h2h_current_home_win_rate,home_pre_match_ladder_rank,home_pre_match_points,home_pre_match_percentage,away_pre_match_ladder_rank,away_pre_match_points,away_pre_match_percentage
1983-04-09,3,1983,St Kilda Saints,Hawthorn Hawks,Moorabbin Oval,Away Win,0.0,0,78.5,5.0,1.0,2,100.5,5.0,0.0,0.0,0.0,0.0,,12,0.0,67.97,1,8.0,128.03
1983-04-09,3,1983,Western Bulldogs,Melbourne Demons,Western Oval,Home Win,0.5,1,87.0,7.0,0.5,1,122.0,7.0,0.0,0.0,0.0,0.0,,10,4.0,92.55,7,4.0,103.83
1983-04-10,3,1983,Sydney Swans,North Melbourne Kangaroos,Sydney Cricket Ground,Away Win,0.5,0,78.0,6.0,0.5,0,71.5,6.0,0.0,0.0,0.0,0.0,,9,4.0,86.67,10,4.0,81.71
1983-04-16,4,1983,Fitzroy Lions,Sydney Swans,Junction Oval,Home Win,0.6666666666666666,2,99.0,7.0,0.3333333333333333,0,67.0,6.0,0.0,0.0,0.0,0.0,,4,8.0,129.13,10,4.0,55.07
1983-04-16,4,1983,Essendon Bombers,Collingwood Magpies,"Windy Hill
",Home Win,0.3333333333333333,0,99.0,7.0,0.3333333333333333,0,106.0,7.0,0.0,0.0,0.0,0.0,,7,4.0,106.83,8,4.0,98.45
1983-04-16,4,1983,Hawthorn Hawks,Western Bulldogs,Princes Park,Away Win,1.0,3,124.0,7.0,0.6666666666666666,2,95.0,7.0,0.0,0.0,0.0,0.0,,1,12.0,186.93,6,8.0,106.74
1983-04-16,4,1983,North Melbourne Kangaroos,Richmond Tigers,Aegis Park,Home Win,0.6666666666666666,1,109.33,6.0,0.0,0,74.0,7.0,0.0,0.0,0.0,0.0,,3,8.0,149.09,11,0.0,63.61
1983-04-16,4,1983,Melbourne Demons,Carlton Blues,Melbourne Cricket Ground,Away Win,0.3333333333333333,0,107.67,7.0,0.6666666666666666,1,105.0,7.0,0.0,0.0,0.0,0.0,,9,4.0,93.35,5,8.0,120.23
1983-04-16,4,1983,St Kilda Saints,Geelong Cats,Waverley Park,Away Win,0.0,0,66.33,7.0,1.0,3,100.33,7.0,0.0,0.0,0.0,0.0,,12,0.0,49.5,2,12.0,138.71
1983-04-23,5,1983,Carlton Blues,Fitzroy Lions,Princes Park,Away Win,0.75,2,103.5,7.0,0.75,3,105.5,7.0,0.0,0.0,0.0,0.0,,4,12.0,117.61,1,12.0,149.65
1983-04-23,5,1983,Collingwood Magpies,Hawthorn Hawks,Victoria Park,Away Win,0.25,0,108.75,7.0,0.75,0,117.25,7.0,0.0,0.0,0.0,0.0,,8,4.0,93.75,2,12.0,147.95
1983-04-24,5,1983,Sydney Swans,St Kilda Saints,Sydney Cricket Ground,Home Win,0.25,0,63.25,8.0,0.0,0,69.5,8.0,0.0,0.0,0.0,0.0,,10,4.0,51.63,12,0.0,56.5
1983-04-25,5,1983,Essendon Bombers,North Melbourne Kangaroos,Waverley Park,Home Win,0.5,1,109.5,9.0,0.75,2,113.75,9.0,0.0,0.0,0.0,0.0,,7,8.0,110.89,4,12.0,140.87
1983-04-25,5,1983,Geelong Cats,Melbourne Demons,GMHBA Stadium,Away Win,1.0,4,97.75,9.0,0.25,0,103.25,9.0,0.0,0.0,0.0,0.0,,1,16.0,132.09,9,4.0,92.81
1983-04-25,5,1983,Richmond Tigers,Western Bulldogs,Melbourne Cricket Ground,Away Win,0.0,0,81.25,9.0,0.75,3,100.75,9.0,0.0,0.0,0.0,0.0,,11,0.0,68.28,6,12.0,110.71
1983-04-30,6,1983,Carlton Blues,Geelong Cats,Princes Park,Away Win,0.6,0,95.8,7.0,0.8,0,100.2,5.0,0.0,0.0,0.0,0.0,,7,12.0,100.42,3,16.0,120.14
1983-04-30,6,1983,Collingwood Magpies,North Melbourne Kangaroos,Victoria Park,Home Win,0.2,0,101.6,7.0,0.6,0,115.6,5.0,0.0,0.0,0.0,0.0,,10,4.0,90.88,5,12.0,128.16
1983-04-30,6,1983,Essendon Bombers,Western Bulldogs,Windy Hill,Home Win,0.6,2,113.2,5.0,0.8,4,103.8,5.0,0.0,0.0,0.0,0.0,,6,12.0,109.27,4,16.0,108.58
1983-04-30,6,1983,Melbourne Demons,Sydney Swans,Melbourne Cricket Ground,Home Win,0.4,1,106.8,5.0,0.4,1,82.6,6.0,0.0,0.0,0.0,0.0,,8,8.0,96.22,9,8.0,65.87
1983-04-30,6,1983,St Kilda Saints,Fitzroy Lions,Moorabbin Oval,Away Win,0.0,0,83.0,6.0,0.8,4,109.4,7.0,0.0,0.0,0.0,0.0,,12,0.0,63.65,1,16.0,157.64
1983-04-30,6,1983,Hawthorn Hawks,Richmond Tigers,Waverley Park,Away Win,0.8,1,112.8,7.0,0.0,0,87.8,5.0,0.0,0.0,0.0,0.0,,2,16.0,144.62,11,0.0,74.16
1983-05-07,7,1983,Hawthorn Hawks,North Melbourne Kangaroos,Princes Park,Away Win,0.6,0,104.2,7.0,0.4,0,117.2,7.0,0.0,0.0,0.0,0.0,,4,16.0,131.45,6,12.0,118.07
1983-05-07,7,1983,Melbourne Demons,St Kilda Saints,Waverley Park,Home Win,0.6,2,107.0,7.0,0.0,0,86.0,7.0,0.0,0.0,0.0,0.0,,7,12.0,101.85,12,0.0,65.03
1983-05-07,7,1983,Richmond Tigers,Essendon Bombers,Melbourne Cricket Ground,Away Win,0.2,1,93.8,7.0,0.8,3,127.4,7.0,0.0,0.0,0.0,0.0,,11,4.0,80.15,3,16.0,131.75
1983-05-07,7,1983,Western Bulldogs,Collingwood Magpies,Western Oval,Away Win,0.8,0,98.6,7.0,0.2,1,100.6,7.0,0.0,0.0,0.0,0.0,,5,16.0,86.19,9,8.0,95.65
1983-05-07,7,1983,Fitzroy Lions,Geelong Cats,Junction Oval,Home Win,1.0,5,115.6,7.0,0.8,1,98.0,7.0,0.0,0.0,0.0,0.0,,1,20.0,153.67,2,20.0,118.73
1983-05-08,7,1983,Sydney Swans,Carlton Blues,"Sydney Cricket Ground
",Away Win,0.2,0,79.0,8.0,0.4,0,85.6,8.0,0.0,0.0,0.0,0.0,,10,8.0,67.2,8,12.0,98.6
1983-05-14,8,1983,Collingwood Magpies,Richmond Tigers,Waverley Park,Home Win,0.4,2,99.0,7.0,0.2,0,96.2,7.0,0.0,0.0,0.0,0.0,,9,12.0,96.93,11,4.0,80.42
1983-05-14,8,1983,Geelong Cats,Sydney Swans,GMHBA Stadium,Away Win,0.6,0,91.2,7.0,0.2,0,93.6,6.0,0.0,0.0,0.0,0.0,,3,20.0,114.71,10,8.0,69.18
1983-05-14,8,1983,Hawthorn Hawks,Essendon Bombers,Princes Park,Home Win,0.4,0,108.4,7.0,0.8,4,128.6,7.0,0.0,0.0,0.0,0.0,,5,16.0,116.46,2,20.0,130.19
1983-05-14,8,1983,North Melbourne Kangaroos,Western Bulldogs,Aegis Park,Home Win,0.6,1,137.0,7.0,0.6,0,95.2,7.0,0.0,0.0,0.0,0.0,,4,16.0,123.21,8,16.0,87.01
1983-05-14,8,1983,Melbourne Demons,Fitzroy Lions,Melbourne Cricket Ground,Away Win,0.6,3,104.8,7.0,1.0,6,113.2,7.0,0.0,0.0,0.0,0.0,,6,16.0,106.22,1,24.0,148.45
1983-05-14,8,1983,St Kilda Saints,Carlton Blues,Moorabbin Oval,Away Win,0.0,0,87.0,7.0,0.6,1,99.0,6.0,0.0,0.0,0.0,0.0,,12,0.0,65.56,7,16.0,103.33
1983-05-21,9,1983,Carlton Blues,Hawthorn Hawks,Princes Park,Home Win,0.6,2,108.6,7.0,0.4,1,101.6,7.0,0.0,0.0,0.0,0.0,,5,20.0,110.14,3,20.0,120.05
1983-05-21,9,1983,Essendon Bombers,Melbourne Demons,Windy Hill,Home Win,0.8,0,136.4,7.0,0.6,0,106.4,7.0,0.0,0.0,0.0,0.0,,4,20.0,119.98,7,16.0,100.71
1983-05-21,9,1983,Fitzroy Lions,Western Bulldogs,Waverley Park,Away Win,1.0,7,119.0,7.0,0.4,0,87.8,7.0,0.0,0.0,0.0,0.0,,1,28.0,147.93,8,16.0,77.35
1983-05-21,9,1983,Geelong Cats,North Melbourne Kangaroos,GMHBA Stadium,Away Win,0.4,0,89.2,7.0,0.6,2,137.8,7.0,0.0,0.0,0.0,0.0,,6,20.0,108.58,2,20.0,136.33
1983-05-21,9,1983,St Kilda Saints,Richmond Tigers,Moorabbin Oval,Home Win,0.0,0,96.4,7.0,0.2,0,98.8,7.0,0.0,0.0,0.0,0.0,,12,0.0,64.98,11,4.0,77.49
1983-05-22,9,1983,Sydney Swans,Collingwood Magpies,Sydney Cricket Ground,Home Win,0.4,1,106.6,8.0,0.6,3,103.0,8.0,0.0,0.0,0.0,0.0,,10,12.0,74.44,7,16.0,103.09
1983-05-28,10,1983,Western Bulldogs,St Kilda Saints,Western Oval,Home Win,0.4,1,93.2,7.0,0.2,1,102.2,7.0,0.0,0.0,0.0,0.0,,7,20.0,83.96,12,4.0,69.15
1983-05-28,10,1983,Essendon Bombers,Geelong Cats,Windy Hill,Home Win,0.8,1,138.0,7.0,0.2,0,88.0,7.0,0.0,0.0,0.0,0.0,,3,24.0,121.16,6,20.0,102.34
1983-05-28,10,1983,North Melbourne Kangaroos,Carlton Blues,Aegis Park,Home Win,0.6,3,137.2,7.0,0.6,3,109.6,7.0,0.0,0.0,0.0,0.0,,2,24.0,137.47,4,24.0,109.94
1983-05-28,10,1983,Melbourne Demons,Hawthorn Hawks,Waverley Park,Away Win,0.6,0,111.4,7.0,0.4,0,101.4,7.0,0.0,0.0,0.0,0.0,,9,16.0,97.19,5,20.0,116.61
1983-05-28,10,1983,Collingwood Magpies,Fitzroy Lions,Victoria Park,Away Win,0.6,0,99.6,6.0,0.8,0,113.8,7.0,0.0,0.0,0.0,0.0,,8,16.0,100.43,1,28.0,132.49
1983-05-28,10,1983,Richmond Tigers,Sydney Swans,Melbourne Cricket Ground,Home Win,0.2,0,96.8,7.0,0.6,2,120.4,6.0,0.0,0.0,0.0,0.0,,11,4.0,78.39,10,16.0,78.73
1983-06-04,11,1983,Carlton Blues,Essendon Bombers,Waverley Park,Away Win,0.6,0,113.0,7.0,0.8,2,134.2,7.0,0.0,0.0,0.0,0.0,,5,24.0,97.75,3,28.0,120.33
1983-06-04,11,1983,Fitzroy Lions,Richmond Tigers,Junction Oval,Home Win,0.8,1,107.4,7.0,0.4,1,95.2,7.0,0.0,0.0,0.0,0.0,,1,32.0,131.39,11,8.0,81.26
1983-06-04,11,1983,Melbourne Demons,North Melbourne Kangaroos,Melbourne Cricket Ground,Away Win,0.4,0,109.0,7.0,0.8,4,151.2,7.0,0.0,0.0,0.0,0.0,,9,16.0,92.3,2,28.0,146.27
1983-06-04,11,1983,St Kilda Saints,Collingwood Magpies,Moorabbin Oval,Away Win,0.2,0,91.2,7.0,0.6,0,100.4,7.0,0.0,0.0,0.0,0.0,,12,4.0,68.64,8,16.0,98.83
1983-06-04,11,1983,Hawthorn Hawks,Geelong Cats,Princes Park,Away Win,0.4,1,116.6,7.0,0.2,0,85.4,7.0,0.0,0.0,0.0,0.0,,4,24.0,121.25,6,20.0,100.76
1983-06-05,11,1983,Sydney Swans,Western Bulldogs,Sydney Cricket Ground,Home Win,0.4,0,107.2,8.0,0.4,2,95.6,8.0,0.0,0.0,0.0,0.0,,10,16.0,79.61,6,24.0,89.26
1983-06-11,12,1983,Essendon Bombers,Sydney Swans,Windy Hill,Home Win,0.8,3,123.2,7.0,0.6,1,112.8,6.0,1.0,1.0,0.0,0.0,100.0,3,32.0,120.73,8,20.0,82.69
1983-06-11,12,1983,Hawthorn Hawks,Fitzroy Lions,Princes Park,Home Win,0.4,0,116.6,7.0,0.8,2,106.0,7.0,1.0,1.0,0.0,0.0,100.0,4,24.0,118.64,1,36.0,129.93
1983-06-11,12,1983,St Kilda Saints,North Melbourne Kangaroos,Moorabbin Oval,Away Win,0.2,0,99.6,7.0,1.0,5,157.4,7.0,1.0,0.0,1.0,0.0,0.0,12,4.0,71.03,2,32.0,142.04
1983-06-13,12,1983,Western Bulldogs,Geelong Cats,Western Oval,Home Win,0.4,0,106.2,8.0,0.2,1,85.4,9.0,1.0,0.0,1.0,0.0,0.0,7,24.0,88.77,5,24.0,101.39
1983-06-13,12,1983,Collingwood Magpies,Melbourne Demons,Waverley Park,Home Win,0.6,1,106.4,9.0,0.2,0,108.8,9.0,1.0,0.0,1.0,0.0,0.0,8,20.0,100.34,10,16.0,92.05
1983-06-13,12,1983,Richmond Tigers,Carlton Blues,Melbourne Cricket Ground,Home Win,0.2,0,96.8,9.0,0.6,0,116.2,9.0,1.0,0.0,1.0,0.0,0.0,11,8.0,81.54,6,24.0,95.9
1983-06-18,13,1983,Carlton Blues,Western Bulldogs,Princes Park,Home Win,0.4,0,104.6,5.0,0.6,1,110.2,5.0,1.0,1.0,0.0,0.0,100.0,8,24.0,92.58,4,28.0,90.37
1983-06-18,13,1983,Geelong Cats,Collingwood Magpies,GMHBA Stadium,Home Win,0.2,0,90.2,5.0,0.6,2,106.2,5.0,1.0,1.0,0.0,0.0,100.0,7,24.0,100.27,6,24.0,101.86
1983-06-18,13,1983,Melbourne Demons,Richmond Tigers,Melbourne Cricket Ground,Home Win,0.0,0,100.8,5.0,0.4,1,102.6,5.0,1.0,0.0,1.0,0.0,0.0,10,16.0,91.18,11,12.0,86.47
1983-06-18,13,1983,St Kilda Saints,Essendon Bombers,Waverley Park,Away Win,0.2,0,105.4,7.0,0.8,4,127.0,7.0,1.0,0.0,1.0,0.0,0.0,12,4.0,71.55,2,36.0,125.33
1983-06-18,13,1983,Fitzroy Lions,North Melbourne Kangaroos,Junction Oval,Home Win,0.6,0,117.6,7.0,1.0,6,156.0,7.0,1.0,0.0,1.0,0.0,0.0,3,36.0,122.42,1,36.0,140.93
1983-06-19,13,1983,Sydney Swans,Hawthorn Hawks,Sydney Cricket Ground,Away Win,0.6,0,105.8,8.0,0.6,1,131.8,8.0,1.0,0.0,1.0,0.0,0.0,9,20.0,79.52,4,28.0,119.32
1983-06-25,14,1983,Hawthorn Hawks,St Kilda Saints,Princes Park,Home Win,0.6,2,126.4,6.0,0.2,0,105.8,7.0,1.0,0.0,1.0,0.0,0.0,4,32.0,120.67,12,4.0,71.09
1983-06-25,14,1983,North Melbourne Kangaroos,Sydney Swans,Aegis Park,Home Win,0.8,0,132.2,7.0,0.4,0,99.4,6.0,1.0,0.0,1.0,0.0,0.0,3,36.0,123.29,10,20.0,78.91
1983-06-25,14,1983,Collingwood Magpies,Carlton Blues,Victoria Park,Home Win,0.4,0,101.8,7.0,0.4,1,109.8,7.0,1.0,0.0,1.0,0.0,0.0,8,24.0,100.52,6,28.0,99.29
1983-06-25,14,1983,Essendon Bombers,Fitzroy Lions,Windy Hill,Away Win,1.0,5,135.6,7.0,0.6,1,136.4,7.0,1.0,1.0,0.0,0.0,100.0,2,40.0,127.17,1,40.0,133.84
1983-06-25,14,1983,Melbourne Demons,Western Bulldogs,Melbourne Cricket Ground,Home Win,0.2,1,108.0,7.0,0.6,0,111.8,7.0,1.0,1.0,0.0,0.0,100.0,9,20.0,92.75,7,28.0,85.53
1983-06-25,14,1983,Richmond Tigers,Geelong Cats,Waverley Park,Home Win,0.4,0,112.6,7.0,0.4,1,93.6,7.0,1.0,0.0,1.0,0.0,0.0,11,12.0,86.65,5,28.0,101.59
1983-07-02,15,1983,Western Bulldogs,Hawthorn Hawks,Waverley Park,Away Win,0.4,0,99.8,7.0,0.8,3,135.8,7.0,1.0,1.0,0.0,0.0,100.0,8,28.0,85.55,4,36.0,124.72
1983-07-02,15,1983,Carlton Blues,Melbourne Demons,Princes Park,Away Win,0.2,0,98.0,7.0,0.4,2,104.8,7.0,1.0,0.0,1.0,0.0,0.0,7,28.0,95.72,9,24.0,94.02
1983-07-02,15,1983,Collingwood Magpies,Essendon Bombers,Victoria Park,Home Win,0.6,1,101.8,7.0,0.8,0,117.4,7.0,1.0,1.0,0.0,0.0,100.0,5,28.0,104.49,2,40.0,125.37
1983-07-02,15,1983,Geelong Cats,St Kilda Saints,GMHBA Stadium,Away Win,0.4,0,90.6,7.0,0.0,0,99.0,7.0,1.0,0.0,1.0,0.0,0.0,6,28.0,101.42,12,4.0,69.59
1983-07-02,15,1983,Richmond Tigers,North Melbourne Kangaroos,Melbourne Cricket Ground,Away Win,0.6,1,108.0,7.0,0.8,1,123.8,7.0,1.0,0.0,1.0,0.0,0.0,11,16.0,87.31,3,40.0,124.73
1983-07-03,15,1983,Sydney Swans,Fitzroy Lions,Sydney Cricket Ground,Home Win,0.2,0,85.2,8.0,0.8,2,129.6,8.0,1.0,0.0,1.0,0.0,0.0,10,20.0,78.01,1,44.0,132.82
1983-07-09,16,1983,Fitzroy Lions,Carlton Blues,Waverley Park,Away Win,0.6,0,134.4,6.0,0.2,0,95.0,7.0,1.0,1.0,0.0,0.0,100.0,1,44.0,127.15,7,28.0,93.59
1983-07-09,16,1983,Western Bulldogs,Richmond Tigers,Western Oval,Away Win,0.2,0,86.2,7.0,0.4,0,109.6,7.0,1.0,1.0,0.0,0.0,100.0,8,28.0,84.6,11,16.0,86.93
1983-07-09,16,1983,North Melbourne Kangaroos,Essendon Bombers,Aegis Park,Home Win,0.8,2,112.8,7.0,0.6,0,113.0,7.0,1.0,0.0,1.0,0.0,0.0,2,44.0,124.46,3,40.0,122.42
1983-07-16,16,1983,Hawthorn Hawks,Collingwood Magpies,Princes Park,Home Win,0.8,4,119.4,14.0,0.8,2,107.2,14.0,1.0,1.0,0.0,0.0,100.0,3,40.0,125.74,5,32.0,105.39
1983-07-16,16,1983,Melbourne Demons,Geelong Cats,Melbourne Cricket Ground,Home Win,0.6,3,104.2,14.0,0.4,0,84.8,14.0,1.0,1.0,0.0,0.0,100.0,7,28.0,96.62,6,28.0,97.55
1983-07-16,16,1983,St Kilda Saints,Sydney Swans,Moorabbin Oval,Home Win,0.2,1,106.6,14.0,0.4,1,95.8,13.0,1.0,1.0,0.0,0.0,100.0,12,8.0,73.39,10,24.0,81.18
1983-07-23,17,1983,Fitzroy Lions,St Kilda Saints,Junction Oval,Away Win,0.4,0,125.0,14.0,0.4,2,103.6,7.0,1.0,0.0,1.0,0.0,0.0,3,44.0,122.59,12,12.0,76.15
1983-07-23,17,1983,Geelong Cats,Carlton Blues,GMHBA Stadium,Away Win,0.2,0,80.4,7.0,0.4,1,99.6,14.0,1.0,1.0,0.0,0.0,100.0,7,28.0,97.27,6,32.0,95.97
1983-07-23,17,1983,North Melbourne Kangaroos,Collingwood Magpies,Waverley Park,Home Win,0.8,3,110.6,14.0,0.6,0,95.2,7.0,1.0,0.0,1.0,0.0,0.0,1,48.0,124.14,5,32.0,102.62
1983-07-23,17,1983,Richmond Tigers,Hawthorn Hawks,Melbourne Cricket Ground,Away Win,0.6,1,107.6,14.0,1.0,5,129.2,7.0,1.0,1.0,0.0,0.0,100.0,11,20.0,88.68,2,44.0,126.5
1983-07-23,17,1983,Western Bulldogs,Essendon Bombers,Western Oval,Away Win,0.2,0,82.6,14.0,0.4,0,109.2,14.0,1.0,0.0,1.0,0.0,0.0,9,28.0,84.38,4,40.0,119.31
1983-07-24,17,1983,Sydney Swans,Melbourne Demons,Sydney Cricket Ground,Home Win,0.2,0,91.6,8.0,0.8,4,95.0,8.0,1.0,0.0,1.0,0.0,0.0,10,24.0,80.93,6,32.0,97.11
1983-07-30,18,1983,Carlton Blues,Sydney Swans,Princes Park,Home Win,0.6,2,103.0,7.0,0.4,1,100.0,6.0,1.0,0.0,1.0,0.0,0.0,5,36.0,98.1,10,28.0,82.65
1983-07-30,18,1983,Collingwood Magpies,Western Bulldogs,Victoria Park,Home Win,0.4,0,97.4,7.0,0.0,0,83.6,7.0,1.0,0.0,1.0,0.0,0.0,6,32.0,99.32,9,28.0,84.45
1983-07-30,18,1983,Essendon Bombers,Richmond Tigers,Windy Hill,Away Win,0.4,1,103.0,7.0,0.4,0,95.8,7.0,1.0,0.0,1.0,0.0,0.0,4,44.0,119.16,11,20.0,86.2
1983-07-30,18,1983,Geelong Cats,Fitzroy Lions,Waverley Park,Away Win,0.2,0,76.8,7.0,0.4,0,125.8,7.0,1.0,0.0,1.0,0.0,0.0,8,28.0,95.23,3,44.0,119.89
1983-07-30,18,1983,North Melbourne Kangaroos,Hawthorn Hawks,Aegis Park,Away Win,0.8,4,114.0,7.0,1.0,6,125.0,7.0,1.0,1.0,0.0,0.0,100.0,1,52.0,125.9,2,48.0,129.19
1983-07-30,18,1983,St Kilda Saints,Melbourne Demons,Moorabbin Oval,Away Win,0.6,3,112.6,7.0,0.8,0,103.8,6.0,1.0,0.0,1.0,0.0,0.0,12,16.0,78.2,7,32.0,96.6
1983-08-05,19,1983,Sydney Swans,Geelong Cats,Sydney Cricket Ground,Away Win,0.4,0,99.4,6.0,0.0,0,66.4,6.0,1.0,1.0,0.0,0.0,100.0,10,28.0,81.55,8,28.0,91.86
1983-08-06,19,1983,Western Bulldogs,North Melbourne Kangaroos,Waverley Park,Away Win,0.0,0,81.8,7.0,0.8,0,118.0,7.0,1.0,0.0,1.0,0.0,0.0,9,28.0,84.64,2,52.0,124.14
1983-08-06,19,1983,Essendon Bombers,Hawthorn Hawks,Windy Hill,Home Win,0.2,0,85.4,7.0,1.0,7,122.4,7.0,1.0,1.0,0.0,0.0,100.0,4,44.0,113.82,1,52.0,128.03
1983-08-06,19,1983,Fitzroy Lions,Melbourne Demons,"Junction Oval
",Home Win,0.4,1,104.0,7.0,0.8,1,98.8,7.0,1.0,0.0,1.0,0.0,0.0,3,48.0,122.96,7,36.0,97.62
1983-08-06,19,1983,Richmond Tigers,Collingwood Magpies,Melbourne Cricket Ground,Away Win,0.6,1,98.8,7.0,0.6,1,96.8,7.0,1.0,0.0,1.0,0.0,0.0,11,24.0,90.32,6,36.0,99.84
1983-08-06,19,1983,Carlton Blues,St Kilda Saints,Princes Park,Home Win,0.6,3,92.6,7.0,0.6,0,110.6,7.0,1.0,0.0,1.0,0.0,0.0,5,40.0,100.54,12,16.0,78.39
1983-08-13,20,1983,Collingwood Magpies,Sydney Swans,Victoria Park,Home Win,0.6,2,94.6,7.0,0.4,0,104.4,8.0,1.0,1.0,0.0,0.0,100.0,6,40.0,100.37,10,28.0,79.78
1983-08-13,20,1983,Hawthorn Hawks,Carlton Blues,Princes Park,Away Win,0.8,0,115.8,7.0,0.8,4,117.2,7.0,1.0,0.0,1.0,0.0,0.0,3,52.0,123.09,5,44.0,106.09
1983-08-13,20,1983,North Melbourne Kangaroos,Geelong Cats,Aegis Park,Home Win,0.8,1,134.4,7.0,0.2,1,80.8,8.0,1.0,1.0,0.0,0.0,100.0,1,56.0,128.13,8,32.0,95.96
1983-08-13,20,1983,Melbourne Demons,Essendon Bombers,Melbourne Cricket Ground,Away Win,0.6,0,94.0,7.0,0.4,1,105.0,7.0,1.0,0.0,1.0,0.0,0.0,7,36.0,93.7,4,48.0,115.4
1983-08-13,20,1983,Richmond Tigers,St Kilda Saints,Waverley Park,Away Win,0.4,0,100.6,7.0,0.6,0,108.0,7.0,1.0,1.0,0.0,0.0,100.0,11,24.0,90.25,12,16.0,75.47
1983-08-13,20,1983,Western Bulldogs,Fitzroy Lions,Western Oval,Home Win,0.0,0,79.0,7.0,0.4,2,123.2,7.0,1.0,1.0,0.0,0.0,100.0,9,28.0,81.51,2,52.0,126.83
1983-08-20,21,1983,Carlton Blues,North Melbourne Kangaroos,Princes Park,Home Win,1.0,5,129.6,7.0,0.8,2,130.0,7.0,1.0,1.0,0.0,0.0,100.0,5,48.0,106.59,1,60.0,128.56
1983-08-20,21,1983,Fitzroy Lions,Collingwood Magpies,Junction Oval,Home Win,0.4,0,119.6,7.0,0.6,3,110.2,7.0,1.0,1.0,0.0,0.0,100.0,2,52.0,123.7,6,44.0,103.4
1983-08-20,21,1983,Geelong Cats,Essendon Bombers,GMHBA Stadium,Away Win,0.2,0,84.0,7.0,0.6,2,115.8,7.0,1.0,0.0,1.0,0.0,0.0,8,32.0,94.51,4,52.0,115.3
